@RELATION CharacterFilter

@ATTRIBUTE init         string
@ATTRIBUTE alternate    string
@ATTRIBUTE result 	{0, 1}

@DATA
'The quick brown fox jumps over the lazy dog.','d',0
'dhe quick brown fox jumps over the lazy dog.','T',1
'The quick brown fox jumps over the lazy dog.','X',0
'Xhe quick brown fox jumps over the lazy dog.','T',1
'The quick brown fox jumps over the lazy dog.','U',0
'Uhe quick brown fox jumps over the lazy dog.','T',1
'The quick brown fox jumps over the lazy dog.','p',0
'Tpe quick brown fox jumps over the lazy dog.','h',1
'The quick brown fox jumps over the lazy dog.','i',0
'Tie quick brown fox jumps over the lazy dog.','h',1
'The quick brown fox jumps over the lazy dog.','u',0
'Thu quick brown fox jumps over the lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','m',0
'Thm quick brown fox jumps over the lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','f',0
'Thf quick brown fox jumps over the lazy dog.','e',1
'The quick brown fox jumps over the lazy dog.','0',0
'The0quick brown fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The"quick brown fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The!quick brown fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','r',0
'The ruick brown fox jumps over the lazy dog.','q',1
'The quick brown fox jumps over the lazy dog.','v',0
'The qvick brown fox jumps over the lazy dog.','u',1
'The quick brown fox jumps over the lazy dog.','q',0
'The quqck brown fox jumps over the lazy dog.','i',1
'The quick brown fox jumps over the lazy dog.','j',0
'The qujck brown fox jumps over the lazy dog.','i',1
'The quick brown fox jumps over the lazy dog.','s',0
'The quisk brown fox jumps over the lazy dog.','c',1
'The quick brown fox jumps over the lazy dog.','k',0
'The quikk brown fox jumps over the lazy dog.','c',1
'The quick brown fox jumps over the lazy dog.','d',0
'The quidk brown fox jumps over the lazy dog.','c',1
'The quick brown fox jumps over the lazy dog.','s',0
'The quics brown fox jumps over the lazy dog.','k',1
'The quick brown fox jumps over the lazy dog.','l',0
'The quicl brown fox jumps over the lazy dog.','k',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick0brown fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick"brown fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick!brown fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','r',0
'The quick rrown fox jumps over the lazy dog.','b',1
'The quick brown fox jumps over the lazy dog.','j',0
'The quick jrown fox jumps over the lazy dog.','b',1
'The quick brown fox jumps over the lazy dog.','c',0
'The quick crown fox jumps over the lazy dog.','b',1
'The quick brown fox jumps over the lazy dog.','s',0
'The quick bsown fox jumps over the lazy dog.','r',1
'The quick brown fox jumps over the lazy dog.','w',0
'The quick brwwn fox jumps over the lazy dog.','o',1
'The quick brown fox jumps over the lazy dog.','p',0
'The quick brpwn fox jumps over the lazy dog.','o',1
'The quick brown fox jumps over the lazy dog.','x',0
'The quick broxn fox jumps over the lazy dog.','w',1
'The quick brown fox jumps over the lazy dog.','v',0
'The quick browv fox jumps over the lazy dog.','n',1
'The quick brown fox jumps over the lazy dog.','o',0
'The quick browo fox jumps over the lazy dog.','n',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown0fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick brown"fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick brown!fox jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','v',0
'The quick brown vox jumps over the lazy dog.','f',1
'The quick brown fox jumps over the lazy dog.','n',0
'The quick brown nox jumps over the lazy dog.','f',1
'The quick brown fox jumps over the lazy dog.','g',0
'The quick brown gox jumps over the lazy dog.','f',1
'The quick brown fox jumps over the lazy dog.','w',0
'The quick brown fwx jumps over the lazy dog.','o',1
'The quick brown fox jumps over the lazy dog.','p',0
'The quick brown fpx jumps over the lazy dog.','o',1
'The quick brown fox jumps over the lazy dog.','y',0
'The quick brown foy jumps over the lazy dog.','x',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown fox0jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick brown fox"jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick brown fox!jumps over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','r',0
'The quick brown fox rumps over the lazy dog.','j',1
'The quick brown fox jumps over the lazy dog.','k',0
'The quick brown fox kumps over the lazy dog.','j',1
'The quick brown fox jumps over the lazy dog.','v',0
'The quick brown fox jvmps over the lazy dog.','u',1
'The quick brown fox jumps over the lazy dog.','u',0
'The quick brown fox juups over the lazy dog.','m',1
'The quick brown fox jumps over the lazy dog.','n',0
'The quick brown fox junps over the lazy dog.','m',1
'The quick brown fox jumps over the lazy dog.','q',0
'The quick brown fox jumqs over the lazy dog.','p',1
'The quick brown fox jumps over the lazy dog.','t',0
'The quick brown fox jumpt over the lazy dog.','s',1
'The quick brown fox jumps over the lazy dog.','0',0
'The quick brown fox jumps0over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','"',0
'The quick brown fox jumps"over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','!',0
'The quick brown fox jumps!over the lazy dog.',' ',1
'The quick brown fox jumps over the lazy dog.','w',0
'The quick brown fox jumps wver the lazy dog.','o',1
'The quick brown fox jumps over the lazy dog.','p',0
'The quick brown fox jumps pver the lazy dog.','o',1
